,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,SWV,0.693,1993-07-10,0.533,none,dance pop,2.0,0.0,1,71EHOyEOhNx1SzTebRRyng,127.661,4.0,Weak,0.568
1,Janet Jackson,0.703,1993-07-10,0.7,none,dance pop,5.0,1.0,2,29rQJydAlO0uMyWvRIZxQg,97.675,4.0,That's The Way Love Goes,0.582
2,Tag Team,0.793,1993-07-10,0.708,none,miami bass,4.0,0.0,3,79L3KLOzsUoXqNphyy6Wlm,131.899,4.0,Whoomp! (There It Is),0.524
3,UB40,2.0,1993-07-10,2.0,none,NA,2.0,2.0,4,NA,2.0,2.0,"Can't Help Falling In Love (From ""Sliver"")",2.0
4,H-Town,0.726,1993-07-10,0.501,none,boy band,1.0,0.0,5,6x53SJOV1PAZ8ZUwH4NFXQ,128.099,4.0,Knockin' Da Boots,0.582
5,Robin S.,0.811,1993-07-10,0.833,none,diva house,5.0,1.0,6,4t0UsYzmmmZRMTWn77jiGF,120.258,4.0,Show Me Love,0.567
6,Rod Stewart,0.523,1993-07-10,0.366,none,adult standards,10.0,1.0,7,6mIY6O7uNGgVqOoX70UAYh,142.814,4.0,Have I Told You Lately,0.291
7,Dr. Dre,2.0,1993-07-10,2.0,none,NA,2.0,2.0,8,NA,2.0,2.0,Dre Day,2.0
8,Expose,0.323,1993-07-10,0.311,none,freestyle,8.0,1.0,9,5jPgOjFotU05FAgA8Y9IFL,166.943,4.0,I'll Never Get Over You (Getting Over Me),0.146
9,Duran Duran,0.542,1993-07-10,0.793,none,dance rock,8.0,1.0,10,0yfNXxlyXdmP0ue1iJijx1,173.931,4.0,Come Undone,0.708
10,Jodeci,0.385,1993-07-10,0.317,none,dance pop,1.0,1.0,11,5hIljtQ1fRvDRc1aHdhwWK,125.919,4.0,Lately,0.312
11,Duice,2.0,1993-07-10,2.0,none,NA,2.0,2.0,12,NA,2.0,2.0,Dazzey Duks,2.0
12,Inner Circle,0.781,1993-07-10,0.722,none,dancehall,7.0,1.0,13,0qeKzbUsW0V4ZWRJrHNiD3,87.862,4.0,"Bad Boys (Theme From ""Cops"")",0.532
13,95 South,0.783,1993-07-10,0.498,none,miami bass,7.0,1.0,14,1PJM5F9oC7AKcdYROTv8EX,132.952,4.0,"Whoot, There It Is",0.519
14,Onyx,0.879,1993-07-10,0.692,none,east coast hip hop,4.0,1.0,15,0W2mz7mvaBaEsC4rmoRNPn,98.329,4.0,Slam,0.804
15,4 Non Blondes,0.561,1993-07-10,0.555,none,new wave pop,11.0,0.0,16,0jWgAnTrNZmOGmqgvHhZEm,134.369,4.0,What's Up,0.497
16,Captain Hollywood Project,0.661,1993-07-10,0.847,none,bubblegum dance,7.0,1.0,17,0JXXm3RqxU8EKzX4P8M0n3,125.862,4.0,More And More,0.71
17,The Proclaimers,0.851,1993-07-10,0.551,none,celtic rock,4.0,1.0,18,66S14BkJDxgkYxLl5DCqOz,131.922,4.0,I'm Gonna Be (500 Miles),0.807
18,Silk,0.697,1993-07-10,0.608,none,atl hip hop,4.0,0.0,19,5CdJveJgiGXoGwDFqF6afp,133.879,4.0,Freak Me,0.725
19,P.M. Dawn,0.786,1993-07-10,0.372,none,new jack swing,8.0,1.0,20,2cRlkoXssyeXXHjjaF06Za,102.237,4.0,Looking Through Patient Eyes,0.685
20,Tony Toni Tone,0.882,1993-07-10,0.706,none,dance pop,11.0,0.0,21,5oPRLER8bCQN3RFFVvLbTC,106.712,4.0,If I Had No Loot,0.754
21,Taylor Dayne,0.688,1993-07-10,0.743,none,dance pop,5.0,1.0,22,4tmzLB4caxMSZDgWujR7sH,108.178,4.0,Can't Get Enough Of Your Love,0.642
22,Snow,0.668,1993-07-10,0.649,none,NA,1.0,0.0,23,2VdbkEyvcnNvTU4Tn1tL2v,90.95,4.0,"Girl, I've Been Hurt",0.471
23,SWV,0.85,1993-07-10,0.513,none,dance pop,7.0,1.0,24,5A0aUvnfAEcmUx3hoXjI8R,99.01,4.0,I'm So Into You,0.623
24,Tina Turner,2.0,1993-07-10,2.0,none,NA,2.0,2.0,25,NA,2.0,2.0,"I Don't Wanna Fight (From ""What's Love Got To Do With It"")",2.0
25,Jade,0.831,1993-07-10,0.915,none,girl group,10.0,0.0,26,7tsRp7QKUBp6hc9bth0h7x,102.979,4.0,Don't Walk Away,0.881
26,Dr. Dre,2.0,1993-07-10,2.0,none,NA,2.0,2.0,27,NA,2.0,2.0,"Nuthin' But A ""G"" Thang",2.0
27,New Order,0.506,1993-07-10,0.931,none,alternative rock,5.0,1.0,28,1UVll7jjUlqSGxCZ6uXVaD,129.568,4.0,Regret,0.865
28,Silk,2.0,1993-07-10,2.0,none,NA,2.0,2.0,29,NA,2.0,2.0,Girl U For Me/Lose Control,2.0
29,Bon Jovi,0.509,1993-07-10,0.917,none,glam metal,4.0,1.0,30,0vTKR5TQD03kASmEGlyDF3,123.281,4.0,In These Arms,0.487
30,Brian McKnight,0.261,1993-07-10,0.14,none,dance pop,11.0,1.0,31,3l9OCOG3Vt6c2lxeMyGSIY,71.251,3.0,One Last Cry,0.0984
31,Shai,0.467,1993-07-10,0.577,none,boy band,2.0,1.0,32,3xSu3S8v206qwhob9N2LGJ,143.625,4.0,Baby I'm Yours,0.609
32,Green Jelly,0.449,1993-07-10,0.95,none,funk metal,7.0,1.0,33,6DiPkm7C3LD9XsJWTGPFgv,144.469,4.0,Three Little Pigs,0.339
33,Soul Asylum,0.613,1993-07-10,0.72,none,alternative rock,0.0,1.0,34,3TW48DvQ7ChwY1Yy1tkMaP,117.341,4.0,Runaway Train,0.561
34,Jeremy Jordan,2.0,1993-07-10,2.0,none,NA,2.0,2.0,35,NA,2.0,2.0,Wannagirl,2.0
35,Kenny G With Peabo Bryson,2.0,1993-07-10,2.0,none,NA,2.0,2.0,36,NA,2.0,2.0,By The Time This Night Is Over,2.0
36,Spin Doctors,0.543,1993-07-10,0.912,none,alternative rock,7.0,1.0,37,4ePP9So5xRzspjLFVVbj90,103.731,4.0,Two Princes,0.836
37,Paperboy,0.838,1993-07-10,0.452,none,NA,11.0,0.0,38,2JaHnS7CcIPoc7Il4BkqdR,99.075,4.0,Ditty,0.708
38,Jade,0.508,1993-07-10,0.619,none,girl group,5.0,1.0,39,2dBPCn7ZkLQ7PXNjMg38ru,137.099,4.0,One Woman,0.471
39,U.N.V.,2.0,1993-07-10,2.0,none,NA,2.0,2.0,40,NA,2.0,2.0,Something's Goin' On,2.0
40,Aerosmith,0.399,1993-07-10,0.881,none,album rock,2.0,1.0,41,4avSaixVwu8uqfSs7zgoj3,84.58,4.0,Livin' On The Edge,0.272
41,Stereo MC's,0.655,1993-07-10,0.936,none,acid jazz,1.0,0.0,42,2bQ3lk19XCgwuNMXSSXivI,100.648,4.0,Connected,0.7
42,Clint Black With Wynonna,0.383,1993-07-10,0.238,none,contemporary country,11.0,1.0,43,3FZmpOBUuOWdgR0cOeaASG,146.273,4.0,A Bad Goodbye,0.216
43,Ice Cube,0.796,1993-07-10,0.748,none,conscious hip hop,5.0,0.0,44,2qOm7ukLyHUXWyR4ZWLwxA,82.384,4.0,It Was A Good Day,0.802
44,Vanessa Williams/Brian McKnight,2.0,1993-07-10,2.0,none,NA,2.0,2.0,45,NA,2.0,2.0,"Love Is (From ""Beverly Hills, 90210"")",2.0
45,Sting,0.649,1993-07-10,0.308,none,permanent wave,2.0,1.0,46,5Y9Hqg5Z3EHUDDwd54FDQb,103.975,4.0,Fields Of Gold,0.341
