,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,Nilsson,0.441,1972-02-26,0.212,none,art rock,4.0,1.0,1,7vqubB6rY1NpGVGpHYobbQ,65.311,4.0,Without You,0.124
1,Carpenters,0.236,1972-02-26,0.383,none,adult standards,9.0,1.0,2,414NV7JLX8kGZKm61f9a3s,193.005,5.0,Hurting Each Other,0.179
2,Climax,0.203,1972-02-26,0.401,none,NA,9.0,1.0,3,7uuM0HwvCG20e5ttu6ugmP,201.467,4.0,Precious And Few,0.17
3,Al Green,0.756,1972-02-26,0.397,none,classic soul,7.0,0.0,4,63xdwScd1Ai1GigAwQxE8y,101.985,4.0,Let's Stay Together,0.507
4,The Osmonds,0.6,1972-02-26,0.909,none,bubblegum pop,1.0,0.0,5,49ZAeWd40u4py51DpjEY8p,141.678,4.0,Down By The Lazy River,0.94
5,Apollo featuring Tom Parker,2.0,1972-02-26,2.0,none,NA,2.0,2.0,6,NA,2.0,2.0,Joy,2.0
6,Robert John,0.604,1972-02-26,0.377,none,bubblegum pop,5.0,1.0,7,79fwgYi0nxAn2Zda7sHlmC,128.523,4.0,The Lion Sleeps Tonight,0.9
7,Bread,0.365,1972-02-26,0.338,none,adult standards,2.0,1.0,8,52VIdyKqp1pJRSyUQaxKUA,79.241,4.0,Everything I Own,0.446
8,Don McLean,2.0,1972-02-26,2.0,none,NA,2.0,2.0,9,NA,2.0,2.0,American Pie (Parts I & II),2.0
9,Carole King,0.66,1972-02-26,0.545,none,adult standards,10.0,1.0,10,2CQhvHR4xM8uyAKwZYCaJx,116.229,4.0,Sweet Seasons,0.864
10,Three Dog Night,0.498,1972-02-26,0.531,none,album rock,9.0,1.0,11,4czsX9Yl9As2oC3pjRkARq,89.056,4.0,Never Been To Spain,0.781
11,Cher,0.317,1972-02-26,0.316,none,dance pop,9.0,1.0,12,1q1oeOO8LQJH0qWI549cqN,105.771,3.0,The Way Of Love,0.25
12,Neil Young,0.541,1972-02-26,0.459,none,album rock,4.0,0.0,13,1Q1b8eVkUPGlpSArl8JAVw,171.165,4.0,Heart Of Gold,0.803
13,T. Rex,0.729,1972-02-26,0.818,none,art rock,2.0,1.0,14,6FsQrRpBLgsrFeAeiQqytm,125.811,4.0,Bang A Gong (Get It On),0.907
14,Beverly Bremers,0.503,1972-02-26,0.476,none,NA,0.0,1.0,15,2yb8jAFj1cOj3CBI66jN78,117.031,3.0,Don't Say You Don't Remember,0.402
15,Bee Gees,0.762,1972-02-26,0.434,none,disco,4.0,0.0,16,51VbUJoYc1TX1e7GPcLhFQ,96.24,4.0,My World,0.96
16,Badfinger,0.397,1972-02-26,0.687,none,album rock,5.0,1.0,17,2XKW8CH8nRZH9cF2DNjBHN,101.822,4.0,Day After Day,0.385
17,The Supremes,0.716,1972-02-26,0.604,none,adult standards,4.0,0.0,18,6RDUb0KZc0lnXJqStMgs5k,128.579,4.0,Floy Joy,0.799
18,Carly Simon,0.61,1972-02-26,0.297,none,adult standards,2.0,1.0,19,0rLRrCTqWVMgv1DpMBSezw,99.96,4.0,Anticipation,0.543
19,Faces,0.449,1972-02-26,0.897,none,album rock,9.0,1.0,20,7fLTytvnvxy653VWxflTRf,91.067,4.0,Stay With Me,0.84
20,Led Zeppelin,0.437,1972-02-26,0.864,none,album rock,4.0,0.0,21,3qT4bUD1MaWpGrTwcvguhb,81.394,4.0,Black Dog,0.749
21,The Chakachas,0.643,1972-02-26,0.539,none,NA,0.0,1.0,22,2QEhVc7hg5Z5yI8UPOSRk8,98.833,4.0,Jungle Fever,0.572
22,Donnie Elbert,0.689,1972-02-26,0.544,none,classic soul,10.0,1.0,23,62QWnbRPKsoWPBRIn3TXsA,130.223,4.0,"I Can't Help Myself (Sugar Pie, Honey Bunch)",0.965
