,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
0,R. Kelly,0.62,1998-12-26,0.504,Celine Dion,NA,0.0,1.0,1,0QWFiyhOqFu9RP8qzP6z5L,112.681,4.0,I'm Your Angel,0.266
1,Deborah Cox,0.662,1998-12-26,0.531,none,canadian pop,8.0,1.0,2,51QxenFmXlJXUN9mpvxlaL,119.957,4.0,Nobody's Supposed To Be Here,0.399
2,Divine,0.677,1998-12-26,0.387,none,NA,9.0,1.0,3,1DYDQQY0G8VsQFrcRttYLP,121.037,4.0,Lately,0.39
3,Shania Twain,0.428,1998-12-26,0.514,none,canadian country,7.0,1.0,4,7n2vETKqnlDt4670aVs5n5,135.819,4.0,From This Moment On,0.148
4,Britney Spears,0.759,1998-12-26,0.699,none,dance pop,0.0,0.0,5,3MjUtNVVq3C8Fn0MP3zhXa,92.96,4.0,...Baby One More Time,0.907
5,98 Degrees,2.0,1998-12-26,2.0,none,NA,2.0,2.0,6,NA,2.0,2.0,Because Of You,2.0
6,Lauryn Hill,0.535,1998-12-26,0.505,none,conscious hip hop,2.0,0.0,7,0uEp9E98JB5awlA084uaIg,99.935,4.0,Doo Wop (That Thing),0.495
7,Faith Evans,0.767,1998-12-26,0.551,none,dance pop,0.0,1.0,8,7MQywXGHEev7JmwwIzMcao,100.904,4.0,Love Like This,0.796
8,Brandy,0.698,1998-12-26,0.533,none,dance pop,2.0,1.0,9,6tBD4yjOf9P8rWwUlXdJFm,134.001,4.0,Have You Ever?,0.275
9,Shawn Mullins,0.509,1998-12-26,0.833,none,pop rock,7.0,1.0,10,5sMUwUR3JI2woCOrNbizUt,79.935,4.0,Lullaby,0.569
10,Spice Girls,0.552,1998-12-26,0.694,none,dance pop,4.0,1.0,11,6ZNw9Cnc85OeHZrjMAZJfY,136.019,4.0,Goodbye,0.359
11,Total ,0.753,1998-12-26,0.831,Missy Elliott,hip hop,11.0,0.0,12,5QfobfsCZuyPnCzXHKGs9r,124.151,4.0,Trippin',0.505
12,Eagle-Eye Cherry,0.547,1998-12-26,0.693,none,pop rock,0.0,1.0,13,1t2Hq2WIBcZINOEnK6mdJG,119.567,4.0,Save Tonight,0.583
13,Faith Hill,0.48,1998-12-26,0.832,none,contemporary country,11.0,1.0,14,0TxXEbxn52XsuAhxb6VFZw,186.875,4.0,This Kiss,0.648
14,Jewel,0.634,1998-12-26,0.571,none,alaska indie,5.0,0.0,15,1Nchgvmv9DUrB8X1n442EH,127.222,4.0,Hands,0.262
15,Third Eye Blind,0.599,1998-12-26,0.543,none,alternative rock,0.0,1.0,16,3354J49VpkbZJho7Ztdzpw,91.105,4.0,Jumper,0.624
16,Goo Goo Dolls,0.395,1998-12-26,0.843,none,alternative rock,8.0,1.0,17,0nnwn7LWHCAu09jfuH1xTA,112.423,4.0,Slide,0.481
17,Goo Goo Dolls,0.291,1998-12-26,0.79,none,alternative rock,11.0,0.0,18,6vrUTGn5p8IrfTZ0J6sIVM,155.667,3.0,Iris,0.513
18,Monica,0.671,1998-12-26,0.766,none,dance pop,1.0,0.0,19,5rWzxloNXvbRPhlC1O2b6T,152.088,4.0,The First Night,0.906
19,Jay-Z ,0.791,1998-12-26,0.665,Amil (Of Major Coinz),bulgarian hip hop,8.0,0.0,20,45HLgh98kxPEMP1gPAEe8X,177.097,4.0,Can I Get A...,0.792
20,112 ,0.654,1998-12-26,0.817,Mase,atl hip hop,0.0,1.0,21,4uI5xNUdEupLKskfQnfx3o,90.063,4.0,Love Me,0.649
21,Edwin McCain,0.371,1998-12-26,0.609,none,acoustic pop,11.0,1.0,22,5K7AMlpc4796JRWXb26nCV,136.526,3.0,I'll Be,0.426
22,Dru Hill ,0.72,1998-12-26,0.434,Redman,dance pop,6.0,1.0,23,60NvAO9lx0KmBNAVHIlWN6,94.421,4.0,How Deep Is Your Love,0.756
23,Sheryl Crow,0.599,1998-12-26,0.824,none,folk,4.0,0.0,24,0KmylOmsEL1Lqo8GDP80LJ,104.679,4.0,My Favorite Mistake,0.581
24,BLACKstreet,0.578,1998-12-26,0.872,Mya ,boy band,4.0,0.0,25,4TQOC2AhsD96oPxAC6NB6w,95.49,4.0,Take Me There,0.604
25,Alanis Morissette,0.672,1998-12-26,0.616,none,alternative rock,0.0,1.0,26,3CVDronuSnhguSUguPoseM,92.094,4.0,Thank U,0.566
26,Barenaked Ladies,0.702,1998-12-26,0.898,none,alternative rock,9.0,1.0,27,29hBRadFZf9QTGRHZmxm65,112.845,4.0,One Week,0.731
27,Sarah McLachlan,0.532,1998-12-26,0.0744,none,canadian pop,1.0,1.0,28,3xZMPZQYETEn4hjor3TR1A,117.131,3.0,Angel,0.125
28,Aaliyah,0.675,1998-12-26,0.62,none,NA,4.0,0.0,29,1e1PA4tmIxlXfNE1ITgUDU,170.055,4.0,Are You That Somebody?,0.58
29,Will Smith,0.877,1998-12-26,0.534,none,dance pop,1.0,1.0,30,6e8Ou0wiqAzIpWb2eSxll8,108.171,4.0,Miami,0.89
30,Eve 6,0.483,1998-12-26,0.818,none,alternative metal,11.0,1.0,31,4GiVcDqNQI0fc0yYuRGH9m,175.668,4.0,Inside Out,0.691
31,Next,0.847,1998-12-26,0.402,none,boy band,7.0,1.0,32,5IFCyWplye09HytIP80RCF,99.693,4.0,Too Close,0.752
32,Monifah,0.863,1998-12-26,0.476,none,hip pop,8.0,0.0,33,3upCmUgdchN3u0vkedbC5S,115.459,4.0,Touch It,0.783
33,'N Sync,2.0,1998-12-26,2.0,none,NA,2.0,2.0,34,NA,2.0,2.0,(God Must Have Spent) A Little More Time On You,2.0
34,JAY-Z,2.0,1998-12-26,2.0,none,NA,2.0,2.0,35,NA,2.0,2.0,Hard Knock Life (Ghetto Anthem),2.0
35,Dru Hill,0.717,1998-12-26,0.483,none,dance pop,9.0,0.0,36,0OMmiWMwsCNtpQ5aP6fdp9,109.961,4.0,These Are The Times,0.352
36,Monica,0.592,1998-12-26,0.562,none,dance pop,10.0,0.0,37,1AM1o0mKbgAK5oMpY8B3Z7,90.16,4.0,Angel Of Mine,0.208
37,2Pac,0.862,1998-12-26,0.676,none,g funk,7.0,1.0,38,1ofhfV90EnYhEr7Un2fWiv,111.111,4.0,Changes,0.281
38,Clay Walker,0.536,1998-12-26,0.582,none,contemporary country,4.0,1.0,39,0cwJIOwflRPDTcmz2ApX0B,83.238,4.0,You're Beginning To Get To Me,0.491
39,Collin Raye,0.589,1998-12-26,0.369,none,contemporary country,9.0,1.0,40,022rVz5n3Ga5CelWqme1Sb,98.997,4.0,Someone You Used To Know,0.295
40,Madonna,0.534,1998-12-26,0.561,none,dance pop,5.0,0.0,41,01VFDkHBNJcCNUjzD3flWg,84.978,4.0,The Power Of Good-Bye,0.219
41,Ice Cube ,0.824,1998-12-26,0.837,Mr. Short Khop,conscious hip hop,10.0,0.0,42,1Lol4oIE5ruatEyhzu7Mw9,91.79,4.0,Pushin' Weight,0.545
42,Brian McKnight ,0.862,1998-12-26,0.469,Tone,dance pop,0.0,1.0,43,6QwIRKpkyOoAZp8JPDFLgp,96.935,4.0,Hold Me,0.647
43,Terri Clark,0.73,1998-12-26,0.835,none,alberta country,0.0,1.0,44,1FcmI2jcWwKA999bsuOtzx,126.536,4.0,You're Easy On The Eyes,0.897
44,Aaron Hall,0.719,1998-12-26,0.413,none,neo soul,0.0,0.0,45,5zJAnQ1NFfks3SRbIRLVSM,136.027,4.0,All The Places (I Will Kiss You),0.356
45,Mo Thugs Family ,0.693,1998-12-26,0.637,Bone Thugs-N-Harmony,NA,0.0,1.0,46,6xihjuCX132pyKm5dNFe3T,170.26,4.0,Ghetto Cowboy,0.204
46,Mark Chesnutt,0.493,1998-12-26,0.49,none,contemporary country,10.0,1.0,47,3FN7JMZaaQ9lSzIaan0YZ1,122.087,4.0,I Don't Want To Miss A Thing,0.159
47,BlackHawk,0.711,1998-12-26,0.667,none,contemporary country,4.0,1.0,48,5iYhLXMXR4r335x9MrTvRE,113.655,4.0,There You Have It,0.777
48,Martina McBride,0.531,1998-12-26,0.554,none,contemporary country,0.0,1.0,49,2grwz4trMgDLOfEITQgAv3,141.434,4.0,Wrong Again,0.102
49,Brooks,0.591,1998-12-26,0.388,Dunn,contemporary country,5.0,1.0,50,4PADeWvTB1GbqdFO9n7JX4,105.977,3.0,Husbands And Wives,0.122
50,Alan Jackson,0.762,1998-12-26,0.415,none,contemporary country,3.0,1.0,51,0wRx3vTTQAvvZcfIoOix3n,113.975,4.0,Right On The Money,0.567
51,New Radicals,0.618,1998-12-26,0.896,none,pop rock,2.0,1.0,52,1Cwsd5xI8CajJz795oy4XF,113.961,4.0,You Get What You Give,0.711
52,Lenny Kravitz,0.586,1998-12-26,0.872,none,permanent wave,7.0,1.0,53,1OxcIUqVmVYxT6427tbhDW,159.925,4.0,Fly Away,0.729
