,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
77,Otis Redding,0.883,1963-12-07,0.464,none,christmas,10.0,1.0,78,1aj4GXfmEYXfdVZohCpNKu,111.548,4.0,Pain In My Heart,0.925
78,Steve Alaimo,2.0,1963-12-07,2.0,none,NA,2.0,2.0,79,NA,2.0,2.0,Gotta Lotta Love,2.0
79,Marty Robbins,0.601,1963-12-07,0.19,none,christmas,4.0,1.0,80,5FPxESsg2xeXqiOphiBHnj,84.941,4.0,Begging To You,0.322
80,Jay,0.65,1963-12-07,0.673,The Americans,adult standards,4.0,1.0,81,48Ji4tkYnrCT44PYlkyQrk,150.25,4.0,Come Dance With Me,0.93
81,The Tymes,0.606,1963-12-07,0.371,none,brill building pop,7.0,1.0,82,41bJ7aXZgWXzjUXKYuiE0Q,75.832,4.0,Somewhere,0.651
82,Chubby Checker,0.775,1963-12-07,0.678,none,adult standards,1.0,1.0,83,1iTu0QWGXjKNOxxna7tyl1,109.6,4.0,Hooka Tooka,0.91
83,Rick Nelson,2.0,1963-12-07,2.0,none,NA,2.0,2.0,84,NA,2.0,2.0,Today's Teardrops,2.0
84,The Marketts,0.485,1963-12-07,0.779,none,surf music,7.0,1.0,85,7xAJpAeopaV6rilu3iiwME,133.223,4.0,Out Of Limits,0.483
85,The Raindrops,2.0,1963-12-07,2.0,none,NA,2.0,2.0,86,NA,2.0,2.0,That Boy John,2.0
86,Henry Mancini And His Orchestra,0.161,1963-12-07,0.199,none,adult standards,9.0,0.0,87,1UDfT4MPWSIDMc7HoVAOFo,87.95,3.0,Charade,0.0798
87,Gene Thomas,2.0,1963-12-07,2.0,none,NA,2.0,2.0,88,NA,2.0,2.0,Baby's Gone,2.0
88,Cliff Richard,0.493,1963-12-07,0.321,none,adult standards,2.0,1.0,89,04eQH48WMrhe4EiD2LyYtM,107.056,3.0,It's All In The Game,0.587
89,The Angels,0.227,1963-12-07,0.548,none,australian rock,9.0,1.0,90,293W5tGqQJC73Q1SEBwDo7,195.864,3.0,Thank You And Goodnight,0.685
90,Paul Petersen,2.0,1963-12-07,2.0,none,NA,2.0,2.0,91,NA,2.0,2.0,The Cheer Leader,2.0
91,Chuck Jackson,0.574,1963-12-07,0.504,none,classic soul,6.0,1.0,92,4mo62uR6qj3LBIvJ2liE4g,116.848,4.0,Any Other Way,0.537
92,Ginny Arnell,2.0,1963-12-07,2.0,none,NA,2.0,2.0,93,NA,2.0,2.0,Dumb Head,2.0
93,Dee Clark,0.581,1963-12-07,0.827,none,brill building pop,0.0,1.0,94,385JWAuc6mbUvSLZVPHikF,94.71,4.0,Crossfire Time,0.481
94,Sammy Davis Jr.,0.538,1963-12-07,0.302,none,adult standards,4.0,1.0,95,6Eq25deGWaEuwrToo9ntcP,101.273,4.0,The Shelter Of Your Arms,0.359
95,Wilson Pickett,0.426,1963-12-07,0.658,none,adult standards,7.0,1.0,96,3FI9QCs3dxdRheqxPYIJ3j,70.539,4.0,I'm Down To My Last Heartbreak,0.509
96,The Trashmen,0.582,1963-12-07,0.931,none,classic garage rock,11.0,1.0,97,19uIXB2GaFqNcKPSrmjnvw,99.254,4.0,Surfin' Bird,0.85
97,Inez Foxx,2.0,1963-12-07,2.0,none,NA,2.0,2.0,98,NA,2.0,2.0,Hi Diddle Diddle,2.0
98,Debbie Dovale,2.0,1963-12-07,2.0,none,NA,2.0,2.0,99,NA,2.0,2.0,Hey Lover,2.0
99,Dionne Warwick,0.505,1963-12-07,0.0477,none,adult standards,8.0,1.0,100,2BQZvZsA9SRafvWEBSQnri,78.856,3.0,Anyone Who Had A Heart,0.309
