,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
25,The KLF ,0.617,1992-02-22,0.872,Tammy Wynette,acid house,8.0,1.0,26,1XAZlnVtthcDZt2NI1Dtxo,111.458,4.0,Justified And Ancient,0.504
26,Genesis,0.914,1992-02-22,0.528,none,album rock,3.0,1.0,27,0No5Hr1LxZjJHGsQSTy2bm,107.557,4.0,I Can't Dance,0.898
27,P.M. Dawn,0.725,1992-02-22,0.894,none,new jack swing,6.0,0.0,28,0eOud7XflP6vuIB0hQfCij,105.723,4.0,Paper Doll,0.529
28,Michael Jackson,0.741,1992-02-22,0.894,none,pop,4.0,1.0,29,2Cy7QY8HPLk925AyNAt6OG,114.869,4.0,Black Or White,0.96
29,Color Me Badd,0.587,1992-02-22,0.326,none,boy band,6.0,0.0,30,5OI4XbIHmAGDNnmP01sD82,90.813,4.0,Thinkin' Back,0.271
30,RTZ,0.55,1992-02-22,0.534,none,NA,8.0,1.0,31,5gfy2vyy0SmXEwOgSfMjec,134.662,4.0,Until Your Love Comes Back Around,0.311
31,Paul Young,0.656,1992-02-22,0.496,none,album rock,6.0,0.0,32,1BNloEvafOkfdV1wqi7JQc,95.056,4.0,What Becomes Of The Brokenhearted,0.748
32,Celine Dion And Peabo Bryson,0.463,1992-02-22,0.4,none,canadian pop,6.0,0.0,33,7B3UAPLYAbwXVgbHSKEaTw,77.314,4.0,Beauty And The Beast,0.121
33,Guns N' Roses,0.262,1992-02-22,0.777,none,glam metal,11.0,1.0,34,0rFWuqFgHAfuzE8uSB9TWR,152.5,4.0,Live And Let Die,0.264
34,Bryan Adams,0.497,1992-02-22,0.946,none,album rock,9.0,1.0,35,6PzywkBOvjqTOsOSZJKtcS,137.104,4.0,There Will Never Be Another Tonight,0.606
35,M.C. Hammer,2.0,1992-02-22,2.0,none,NA,2.0,2.0,36,NA,2.0,2.0,Addams Groove,2.0
36,M.C. Brains,2.0,1992-02-22,2.0,none,NA,2.0,2.0,37,NA,2.0,2.0,Oochie Coochie,2.0
37,Genesis,0.658,1992-02-22,0.595,none,album rock,4.0,0.0,38,6YsCavQbx3YITYsnIKvF3j,103.975,4.0,No Son Of Mine,0.256
38,The Shamen,0.66,1992-02-22,0.991,none,acid house,7.0,1.0,39,6l26mQLF7A4lu9djfIez7O,121.467,4.0,Move Any Mountain,0.796
39,P.M. Dawn,0.759,1992-02-22,0.834,none,new jack swing,7.0,1.0,40,3rcNGUOJ0mPOUcAFUlEyT3,98.979,4.0,Set Adrift On Memory Bliss,0.763
40,Heavy D,0.711,1992-02-22,0.595,The Boyz,east coast hip hop,1.0,1.0,41,4WHQzXnWyTlE1UOmmxRDOw,107.473,4.0,Is It Good To You,0.836
