,artist,danceability,date,energy,featuring,genre,key,mode,rank,spotifyID,tempo,timesignature,track,valence
87,Herb Alpert,0.666,1973-04-07,0.55,The Tijuana Brass,adult standards,0.0,0.0,88,2jgq1Kk01aVCi61w4PRvYC,99.877,4.0,Last Tango In Paris,0.858
88,Uncle Dog,2.0,1973-04-07,2.0,none,NA,2.0,2.0,89,NA,2.0,2.0,River Road,2.0
89,Billy Preston,0.689,1973-04-07,0.871,none,funk,1.0,1.0,90,5YLVhkyMsAuYKOKihHJo21,98.396,4.0,Will It Go Round In Circles,0.898
90,The J. Geils Band,0.601,1973-04-07,0.531,none,album rock,0.0,1.0,91,100LcDDP2l9F43MgOVnzrg,117.676,4.0,Give It To Me,0.818
91,Don Fardon,2.0,1973-04-07,2.0,none,NA,2.0,2.0,92,NA,2.0,2.0,Delta Queen,2.0
92,Luther Ingram,0.619,1973-04-07,0.614,none,classic soul,8.0,1.0,93,3JMs4Z63YNSK5RnHUhpeOe,106.617,3.0,Always,0.703
93,Bee Gees,0.432,1973-04-07,0.354,none,disco,9.0,1.0,94,5JFT06fmzJa1eCYx4gszX0,111.056,4.0,Saw A New Morning,0.201
94,Timmy Thomas,2.0,1973-04-07,2.0,none,NA,2.0,2.0,95,NA,2.0,2.0,People Are Changin',2.0
95,Nolan Porter,0.764,1973-04-07,0.573,none,northern soul,9.0,0.0,96,3X9MzewfAXyBbdPuWQDJUa,123.328,4.0,If I Could Only Be Sure,0.806
96,Billy Paul,0.477,1973-04-07,0.954,none,classic soul,8.0,1.0,97,3FAq5uwpjSPTzsiXoPzhe4,190.93,4.0,Am I Black Enough For You,0.857
97,The Sylvers,2.0,1973-04-07,2.0,none,NA,2.0,2.0,98,NA,2.0,2.0,Wish That I Could Talk To You,2.0
98,Bill Quateman,0.345,1973-04-07,0.734,none,deep soft rock,1.0,0.0,99,614D2rzF4H94mc3LKWE2Wb,187.158,4.0,Only Love,0.738
99,Kris Kristofferson,0.416,1973-04-07,0.191,none,country rock,7.0,1.0,100,6n3VD8CbR307p1e4RECHHb,82.088,3.0,Why Me,0.286
